alignment_coverage,ani,querry,reference,primary_cluster
0.07,0.6940999999999999,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.07,0.695,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidipila_sp_4G-K13.fna,0
0.16,0.7039,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.16,0.7034,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_EAC88.fna,0
0.05,0.6890000000000001,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.05,0.6884999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.24,0.7223999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.24,0.7226,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_NP133.fna,0
0.06,0.6851999999999999,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.06,0.6851999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.08,0.6934,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.08,0.6931999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.06,0.6875,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.06,0.6859999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidipila_rosea_DSM_103428.fna,0
0.07,0.6962,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.07,0.6962,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidipila_sp_4G-K13.fna,0
0.17,0.7009000000000001,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.17,0.7009000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_EAC88.fna,0
0.05,0.6865000000000001,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.05,0.6866,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.25,0.723,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.25,0.7229000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_NP133.fna,0
0.06,0.6931,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.06,0.6939,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.09,0.6933,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.09,0.6938,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.3,0.735,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.3,0.7351000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.06,0.6888,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.06,0.6881999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidipila_rosea_DSM_103428.fna,0
0.07,0.6945,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.07,0.695,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidipila_sp_4G-K13.fna,0
0.14,0.7037,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.14,0.7031999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_EAC88.fna,0
0.05,0.6881,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.05,0.6875,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.22,0.722,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.22,0.7221,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_NP133.fna,0
0.06,0.6859000000000001,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.06,0.6858,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.07,0.6931999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.07,0.6928,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.95,0.9992,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.95,0.9992,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.3,0.7349,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.3,0.7348,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.06,0.6909000000000001,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.06,0.6916,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidipila_rosea_DSM_103428.fna,0
0.06,0.6975,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.06,0.6973999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidipila_sp_4G-K13.fna,0
0.18,0.6988,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.18,0.6988,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_EAC88.fna,0
0.05,0.6915,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.05,0.6916,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.25,0.7240000000000001,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.25,0.7238,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_NP133.fna,0
0.06,0.6953,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.06,0.6957,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.09,0.7064,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.09,0.7061,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.3,0.7358,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.3,0.7358,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.57,0.7857999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.57,0.7857,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.31,0.7348,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.31,0.7347,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.03,0.679,Acidipila_rosea_DSM_103428.fna,Acidobacteria_BinDmb228.fna,0
0.03,0.6805,Acidobacteria_BinDmb228.fna,Acidipila_rosea_DSM_103428.fna,0
0.03,0.6861,Acidipila_sp_4G-K13.fna,Acidobacteria_BinDmb228.fna,0
0.03,0.6869,Acidobacteria_BinDmb228.fna,Acidipila_sp_4G-K13.fna,0
0.02,0.6707,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_BinDmb228.fna,0
0.02,0.6715000000000001,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_EAC88.fna,0
0.02,0.6839,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_BinDmb228.fna,0
0.02,0.6853,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.05,0.6856,Acidobacteria_bacterium_NP133.fna,Acidobacteria_BinDmb228.fna,0
0.05,0.6856,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_NP133.fna,0
0.07,0.6895,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_BinDmb228.fna,0
0.07,0.6892,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.05,0.685,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_BinDmb228.fna,0
0.05,0.6857,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.05,0.6844,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteria_BinDmb228.fna,0
0.05,0.6849,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.04,0.6955,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteria_BinDmb228.fna,0
0.04,0.6947,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.05,0.6855,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteria_BinDmb228.fna,0
0.05,0.6855,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.04,0.6965,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteria_BinDmb228.fna,0
0.04,0.6951999999999999,Acidobacteria_BinDmb228.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.34,0.7229000000000001,Acidipila_rosea_DSM_103428.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.34,0.7229000000000001,Acidobacteriaceae_bacterium_SBC82.fna,Acidipila_rosea_DSM_103428.fna,0
0.32,0.7229000000000001,Acidipila_sp_4G-K13.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.32,0.7228,Acidobacteriaceae_bacterium_SBC82.fna,Acidipila_sp_4G-K13.fna,0
0.04,0.6686,Acidobacteria_bacterium_EAC88.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.04,0.6684,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_EAC88.fna,0
0.2,0.7045,Acidobacteria_bacterium_KBS_146.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.2,0.7043,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.05,0.6809999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.05,0.6808,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_NP133.fna,0
0.03,0.6723,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.03,0.672,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.07,0.6817,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.07,0.6819,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.05,0.6858,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.05,0.6865000000000001,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.05,0.6884999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.05,0.6893,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.05,0.6851999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.05,0.6861,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.05,0.6859000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.05,0.6855,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.02,0.6814,Acidobacteria_BinDmb228.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.02,0.6812,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteria_BinDmb228.fna,0
0.27,0.7192000000000001,Acidipila_rosea_DSM_103428.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.27,0.7190000000000001,Acidobacteriaceae_bacterium_TAA_166.fna,Acidipila_rosea_DSM_103428.fna,0
0.27,0.7248,Acidipila_sp_4G-K13.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.27,0.7248,Acidobacteriaceae_bacterium_TAA_166.fna,Acidipila_sp_4G-K13.fna,0
0.04,0.679,Acidobacteria_bacterium_EAC88.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.04,0.6784,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_EAC88.fna,0
0.52,0.7665000000000001,Acidobacteria_bacterium_KBS_146.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.52,0.7666,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.06,0.6892,Acidobacteria_bacterium_NP133.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.06,0.691,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_NP133.fna,0
0.04,0.6889,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.04,0.6889,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.07,0.6903,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.07,0.6907,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.06,0.6905,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.06,0.6903,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.06,0.6977,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.06,0.6973999999999999,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.07,0.6906,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.07,0.6904,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.06,0.6998000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.06,0.6998000000000001,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.03,0.6968000000000001,Acidobacteria_BinDmb228.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.03,0.6962,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteria_BinDmb228.fna,0
0.2,0.7099,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteriaceae_bacterium_TAA_166.fna,0
0.2,0.7099,Acidobacteriaceae_bacterium_TAA_166.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
0.3,0.7095999999999999,Acidipila_rosea_DSM_103428.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.3,0.7094,Acidobacteriaceae_bacterium_URHE0068.fna,Acidipila_rosea_DSM_103428.fna,0
0.28,0.7162999999999999,Acidipila_sp_4G-K13.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.28,0.7162999999999999,Acidobacteriaceae_bacterium_URHE0068.fna,Acidipila_sp_4G-K13.fna,0
0.04,0.6704000000000001,Acidobacteria_bacterium_EAC88.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.04,0.6714,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_EAC88.fna,0
0.19,0.7009000000000001,Acidobacteria_bacterium_KBS_146.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.19,0.7008,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.06,0.6862999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.06,0.6861,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_NP133.fna,0
0.04,0.6820999999999999,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.04,0.6808,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.08,0.6862,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.08,0.6861,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.06,0.6939,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.06,0.6939,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.07,0.6909000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.07,0.691,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_21.fna,0
0.07,0.6934999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.07,0.6933,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_11.fna,0
0.07,0.6920999999999999,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.07,0.6918000000000001,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19.fna,0
0.03,0.6842,Acidobacteria_BinDmb228.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.03,0.6835,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteria_BinDmb228.fna,0
0.19,0.7041,Acidobacteriaceae_bacterium_SBC82.fna,Acidobacteriaceae_bacterium_URHE0068.fna,0
0.19,0.7041,Acidobacteriaceae_bacterium_URHE0068.fna,Acidobacteriaceae_bacterium_SBC82.fna,0
