Sample	Description	Platform	Date	Depth (m)	Depth Class	Size Fraction
SRR1697803	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697803	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697804	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697804	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697805	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697805	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697806	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697806	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697807	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697807	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697808	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697808	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697809	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697809	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697810	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697810	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697811	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697811	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697812	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697812	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697813	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697813	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697814	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697814	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697816	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697816	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697817	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697817	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697818	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697818	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697819	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697819	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697820	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697820	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697821	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697821	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697822	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697822	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697823	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697823	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697824	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697824	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697825	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697825	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697827	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697827	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697828	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697828	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697829	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697829	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697830	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697830	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697831	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697831	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697832	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697832	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697833	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697833	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697835	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697835	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697836	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697836	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697837	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697837	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697838	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697838	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697839	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697839	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697840	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697840	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697841	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697841	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697842	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697842	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR5641465	"Lake Taihu, China"	Illumina MiSeq	1-Jul-14	0.5	Surface	Free-Living
SRR5643665	"Lake Taihu, China"	Illumina MiSeq	1-Aug-14	0.5	Surface	Free-Living
SRR5643666	"Lake Taihu, China"	Illumina MiSeq	1-Sep-14	0.5	Surface	Free-Living
SRR5643667	"Lake Taihu, China"	Illumina MiSeq	1-Oct-14	0.5	Surface	Free-Living
